"run","arm","seed","mae","rmse","rsq","bias","cal_slope","var_truth","rsq_trad","kernel","threshold_mult","src","tgt","graph","accuracy","bal_accuracy","auc","sensitivity","specificity","brier","pred_rate","chosen","select_score","fips","stusps","config","n","mean_bias","resid_moran","label","adaptive"
"kc-ames","OLS",1001,0.303916096394909,0.377945228417221,0.275474860740493,-0.146014351568149,0.860604545486291,0.166127093225597,0.140160747354024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1001,0.311167559880356,0.382625079049847,0.3268520389498,-0.167645408117642,0.742813056503791,0.166127093225597,0.118735250973839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1002,0.330993894751919,0.395732535449128,0.356193293509975,-0.211455447767831,0.775214492084849,0.166127093225597,0.0573227005162255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1003,0.362069907733589,0.439579496294463,0.243628645769006,-0.231684397511671,0.630115601874905,0.166127093225597,-0.163146418869143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1004,0.332859678530405,0.406674960217137,0.304176840710336,-0.20052620095222,0.696208473072896,0.166127093225597,0.00446989075393367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1005,0.364090806571572,0.432906118179713,0.257537256248982,-0.239082484573675,0.712757336685884,0.166127093225597,-0.128098394540208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1006,0.359230272713605,0.43499680425374,0.239608489842708,-0.238229833149962,0.717145029827062,0.166127093225597,-0.139020830599901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1007,0.354236462733084,0.422365747331236,0.318026980248278,-0.239625337621779,0.72345882777218,0.166127093225597,-0.0738334190704208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1008,0.350778558063414,0.423728706406947,0.257704164014485,-0.220953430048168,0.705572620501822,0.166127093225597,-0.0807750448596911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1009,0.370439613072886,0.440696064513017,0.23794625720197,-0.241019416067279,0.670209669638025,0.166127093225597,-0.169062899412345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1010,0.341927140512232,0.417763027376472,0.282265885304824,-0.206855428197807,0.659079730756944,0.166127093225597,-0.0505567975342376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1011,0.350543590459277,0.42434282282712,0.268238563529617,-0.231022539456765,0.745866050819418,0.166127093225597,-0.0839100822667236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1012,0.382840844060245,0.46073927011526,0.193636278759938,-0.258338526889116,0.624473355996041,0.166127093225597,-0.277820919541821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1013,0.381815546453768,0.457561957474093,0.235016303035874,-0.259718198674463,0.618347806766087,0.166127093225597,-0.260257679000096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1014,0.35440116033044,0.426313075460203,0.250825071627864,-0.219525838516894,0.681054889748825,0.166127093225597,-0.0939987859869067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1015,0.381226090023032,0.45716986116047,0.22150705508951,-0.246202977610225,0.581178533340714,0.166127093225597,-0.258098711627126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1016,0.3459505677687,0.425461311719261,0.250623066362145,-0.211793462889822,0.653399566382649,0.166127093225597,-0.089631584199555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1017,0.378739410691559,0.458691819000107,0.186488342183126,-0.253715656392031,0.627363808101892,0.166127093225597,-0.266489292820592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1018,0.337933418730115,0.419039131909618,0.273939647289141,-0.220068964066691,0.724378416022878,0.166127093225597,-0.0569846896262372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1019,0.394499505785707,0.465287039072233,0.243250851557954,-0.278525562460555,0.635915902534614,0.166127093225597,-0.303171111497234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kc-ames","XGBoost",1020,0.359691698187148,0.426592252881159,0.296411457701746,-0.243958589319425,0.747447119277574,0.166127093225597,-0.0954320977078471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
